State,Region,id
AL,South,1
AK,West,2
AZ,West,4
AR,South,5
CA,West,6
CO,West,8
CT,Northeast,9
DE,South,10
FL,South,12
GA,South,13
HI,West,15
ID,West,16
IL,Midwest,17
IN,Midwest,18
IA,Midwest,19
KS,Midwest,20
KY,South,21
LA,South,22
ME,Northeast,23
MD,South,24
MA,Northeast,25
MI,Midwest,26
MN,Midwest,27
MS,South,28
MO,Midwest,29
MT,West,30
NE,Midwest,31
NV,West,32
NH,Northeast,33
NJ,Northeast,34
NM,West,35
NY,Northeast,36
NC,South,37
ND,Midwest,38
OH,Midwest,39
OK,South,40
OR,West,41
PA,Northeast,42
RI,Northeast,44
SC,South,45
SD,Midwest,46
TN,South,47
TX,South,48
UT,West,49
VT,Northeast,50
VA,South,51
WA,West,53
WV,South,54
WI,Midwest,55
WY,West,56
