Year,Ethnicity,Sex,Cause,Count,Region
2010,"	Non-Hispanic Black	",Males,"	HUMAN IMMUNODEFICIENCY VIRUS DISEASE	",297,NYC
2010,"	Non-Hispanic Black	",Males,"	INFLUENZA AND PNEUMONIA	",201,NYC
2010,"	Non-Hispanic Black	",Males,"	INTENTIONAL SELF-HARM (SUICIDE)	",64,NYC
2010,"	Non-Hispanic Black	",Males,"	MALIGNANT NEOPLASMS	",1540,NYC
2010,"	Non-Hispanic Black	",Males,"	MENTAL DISORDERS DUE TO USE OF ALCOHOL	",50,NYC
2010,"	Non-Hispanic Black	",Males,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",70,NYC
2010,"	Non-Hispanic Black	",Males,"	PEPTIC ULCER	",13,NYC
2010,"	Non-Hispanic Black	",Males,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",111,NYC
2010,"	Non-Hispanic Black	",Males,"	SEPTICEMIA	",36,NYC
2010,"	Non-Hispanic Black	",Males,"	SHORT GESTATION/LBW	",35,NYC
2010,"	Non-Hispanic Black	",Males,"	VIRAL HEPATITIS	",49,NYC
2010,"	Non-Hispanic White	",Females,"	ACCIDENTS EXCEPT DRUG POISONING	",164,NYC
2010,"	Non-Hispanic White	",Females,"	ALZHEIMERS DISEASE	",247,NYC
2010,"	Non-Hispanic White	",Females,"	AORTIC ANEURYSM AND DISSECTION	",22,NYC
2010,"	Non-Hispanic White	",Females,"	ATHEROSCLEROSIS	",74,NYC
2010,"	Non-Hispanic White	",Females,"	BENIGN AND UNCERTAIN NEOPLASMS	",69,NYC
2010,"	Non-Hispanic White	",Females,"	CEREBROVASCULAR DISEASE	",382,NYC
2010,"	Non-Hispanic White	",Females,"	CHOLELITHIASIS AND DISORDERS OF GALLBLADDER	",19,NYC
2010,"	Non-Hispanic White	",Females,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",67,NYC
2010,"	Non-Hispanic White	",Females,"	CHRONIC LOWER RESPIRATORY DISEASES	",502,NYC
2010,"	Non-Hispanic White	",Females,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",32,NYC
2010,"	Non-Hispanic White	",Females,"	DIABETES MELLITUS	",258,NYC
2010,"	Non-Hispanic White	",Females,"	DISEASES OF HEART	",5351,NYC
2010,"	Non-Hispanic White	",Females,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",219,NYC
2010,"	Non-Hispanic White	",Females,"	HUMAN IMMUNODEFICIENCY VIRUS DISEASE	",24,NYC
2010,"	Non-Hispanic White	",Females,"	INFLUENZA AND PNEUMONIA	",707,NYC
2010,"	Non-Hispanic White	",Females,"	INTENTIONAL SELF-HARM (SUICIDE)	",61,NYC
2010,"	Non-Hispanic White	",Females,"	MALIGNANT NEOPLASMS	",3438,NYC
2010,"	Non-Hispanic White	",Females,"	MENTAL DISORDERS DUE TO USE OF ALCOHOL	",16,NYC
2010,"	Non-Hispanic White	",Females,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",90,NYC
2010,"	Non-Hispanic White	",Females,"	PARKINSONS DISEASE	",55,NYC
2010,"	Non-Hispanic White	",Females,"	PEPTIC ULCER	",22,NYC
2010,"	Non-Hispanic White	",Females,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",75,NYC
2010,"	Non-Hispanic White	",Females,"	SEPTICEMIA	",107,NYC
2010,"	Non-Hispanic White	",Females,"	SHORT GESTATION/LBW	",14,NYC
2010,"	Non-Hispanic White	",Females,"	VIRAL HEPATITIS	",32,NYC
2010,"	Non-Hispanic White	",Males,"	ACCIDENTS EXCEPT DRUG POISONING	",272,NYC
2010,"	Non-Hispanic White	",Males,"	ALZHEIMERS DISEASE	",94,NYC
2010,"	Non-Hispanic White	",Males,"	AORTIC ANEURYSM AND DISSECTION	",49,NYC
2010,"	Non-Hispanic White	",Males,"	ASSAULT (HOMICIDE)	",25,NYC
2010,"	Non-Hispanic White	",Males,"	ATHEROSCLEROSIS	",46,NYC
2010,"	Non-Hispanic White	",Males,"	BENIGN AND UNCERTAIN NEOPLASMS	",91,NYC
2010,"	Non-Hispanic White	",Males,"	CEREBROVASCULAR DISEASE	",276,NYC
2010,"	Non-Hispanic White	",Males,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",110,NYC
2010,"	Non-Hispanic White	",Males,"	CHRONIC LOWER RESPIRATORY DISEASES	",388,NYC
2010,"	Non-Hispanic White	",Males,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",33,NYC
2010,"	Non-Hispanic White	",Males,"	DIABETES MELLITUS	",245,NYC
2010,"	Non-Hispanic White	",Males,"	DISEASES OF HEART	",4495,NYC
2010,"	Non-Hispanic White	",Males,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",153,NYC
2010,"	Non-Hispanic White	",Males,"	HUMAN IMMUNODEFICIENCY VIRUS DISEASE	",76,NYC
2010,"	Non-Hispanic White	",Males,"	INFLUENZA AND PNEUMONIA	",614,NYC
2010,"	Non-Hispanic White	",Males,"	INTENTIONAL SELF-HARM (SUICIDE)	",182,NYC
2010,"	Non-Hispanic White	",Males,"	MALIGNANT NEOPLASMS	",3408,NYC
2010,"	Non-Hispanic White	",Males,"	MENTAL DISORDERS DUE TO USE OF ALCOHOL	",57,NYC
2010,"	Non-Hispanic White	",Males,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",119,NYC
2010,"	Non-Hispanic White	",Males,"	PARKINSONS DISEASE	",79,NYC
2010,"	Non-Hispanic White	",Males,"	PEPTIC ULCER	",19,NYC
2010,"	Non-Hispanic White	",Males,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",211,NYC
2010,"	Non-Hispanic White	",Males,"	SEPTICEMIA	",74,NYC
2010,"	Non-Hispanic White	",Males,"	SHORT GESTATION/LBW	",14,NYC
2010,"	Non-Hispanic White	",Males,"	VIRAL HEPATITIS	",82,NYC
2011,"	Asian & Pacific Islander	",Females,"	ACCIDENTS EXCEPT DRUG POISONING	",44,NYC
2011,"	Asian & Pacific Islander	",Females,"	ALZHEIMERS DISEASE	",24,NYC
2011,"	Asian & Pacific Islander	",Females,"	ANEMIAS	",5,NYC
2011,"	Asian & Pacific Islander	",Females,"	ASSAULT (HOMICIDE)	",6,NYC
2011,"	Asian & Pacific Islander	",Females,"	BENIGN AND UNCERTAIN NEOPLASMS	",11,NYC
2011,"	Asian & Pacific Islander	",Females,"	CEREBROVASCULAR DISEASE	",98,NYC
2011,"	Asian & Pacific Islander	",Females,"	CHOLELITHIASIS AND DISORDERS OF GALLBLADDER	",6,NYC
2011,"	Asian & Pacific Islander	",Females,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",10,NYC
2011,"	Asian & Pacific Islander	",Females,"	CHRONIC LOWER RESPIRATORY DISEASES	",30,NYC
2011,"	Asian & Pacific Islander	",Females,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",7,NYC
2011,"	Asian & Pacific Islander	",Females,"	DIABETES MELLITUS	",51,NYC
2011,"	Asian & Pacific Islander	",Females,"	DISEASES OF HEART	",402,NYC
2011,"	Asian & Pacific Islander	",Females,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",46,NYC
2011,"	Asian & Pacific Islander	",Females,"	INFLUENZA AND PNEUMONIA	",84,NYC
2011,"	Asian & Pacific Islander	",Females,"	INTENTIONAL SELF-HARM (SUICIDE)	",23,NYC
2011,"	Asian & Pacific Islander	",Females,"	MALIGNANT NEOPLASMS	",454,NYC
2011,"	Asian & Pacific Islander	",Females,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",18,NYC
2011,"	Asian & Pacific Islander	",Females,"	PARKINSONS DISEASE	",5,NYC
2011,"	Asian & Pacific Islander	",Females,"	SEPTICEMIA	",11,NYC
2011,"	Asian & Pacific Islander	",Females,"	VIRAL HEPATITIS	",6,NYC
2011,"	Asian & Pacific Islander	",Males,"	ACCIDENTS EXCEPT DRUG POISONING	",61,NYC
2011,"	Asian & Pacific Islander	",Males,"	ALZHEIMERS DISEASE	",18,NYC
2011,"	Asian & Pacific Islander	",Males,"	AORTIC ANEURYSM AND DISSECTION	",6,NYC
2011,"	Asian & Pacific Islander	",Males,"	ASSAULT (HOMICIDE)	",9,NYC
2011,"	Asian & Pacific Islander	",Males,"	ATHEROSCLEROSIS	",6,NYC
2011,"	Asian & Pacific Islander	",Males,"	BENIGN AND UNCERTAIN NEOPLASMS	",11,NYC
2011,"	Asian & Pacific Islander	",Males,"	CEREBROVASCULAR DISEASE	",79,NYC
2011,"	Asian & Pacific Islander	",Males,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",15,NYC
2011,"	Asian & Pacific Islander	",Males,"	CHRONIC LOWER RESPIRATORY DISEASES	",73,NYC
2011,"	Asian & Pacific Islander	",Males,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",13,NYC
2011,"	Asian & Pacific Islander	",Males,"	DIABETES MELLITUS	",60,NYC
