"id","order","score","weight","color","label","max"
"MGMT",1.1,77210,79730,"#AA3939","Management Occupations",77210
"BFO",1.3,52670,57660,"#AA5C39","Business and Financial Operations Occupations",77210
"CMO",2,60700,31740,"#AA7139","Computer and Mathematical Occupations",77210
"AEO",3,62560,38930,"#AA8039","Architecture and Engineering Occupations",77210
"LPSSO",4,50080,10760,"#AA8C39","Life, Physical, and Social Science Occupations",77210
"CSSO",5,33540,16820,"#AA9739","Community and Social Services Occupations",77210
"ETLO",6,35670,104570,"#AAA239","Education, Training, and Library Occupations",77210
"ADESM",7,33160,17140,"#9CA738","Arts, Design, Entertainment, Sports, and Media Occupations",77210
"HPTO1",8,49580,104410,"#80A035","Healthcare Practitioners and Technical Occupations (1)",77210
"HPTO2",9,19410,45630,"#609732","Healthcare Practitioners and Technical Occupations (2)",77210
"PSO",10,28470,41300,"#2C8437","Protective Service Occupations",77210
"FPSRO",11,15140,148590,"#256F5B","Food Preparation and Service Related Occupations",77210
"BGCMO",12,18510,54680,"#27556C","Building and Grounds Cleaning and Maintenance Occupations",77210
"PCSO",13,18340,31950,"#2D4571","Personal Care and Service Occupations",77210
"SRO",14,27570,199900,"#343477","Sales and Related Occupations",77210
"OASO",15,26290,300780,"#432F75","Office and Administrative Support Occupations",77210
"FFFO",16,25310,6740,"#502C73","Farming, Fishing, and Forestry Occupations",77210
"CEO",17,29710,99250,"#652770","Construction and Extraction Occupations",77210
"IMRO",18,34120,93100,"#852C64","Installation, Maintenance, and Repair Occupations",77210
"PO",19,27100,217470,"#993350","Production Occupations",77210
"TMMO",20,25290,160400,"#8c4646","Transportation and Material Moving Occupations",77210
