FIPS,State,passIn,passOut,fare,passDif
1,AL,47482,47107,284,-375
2,AK,50018,48245,340,-1773
4,AZ,349590,350093,244,503
5,AR,34985,35070,264,85
6,CA,1408918,1402517,275,-6401
8,CO,369160,375025,242,5865
9,CT,62686,61120,246,-1566
10,DE,2401,2404,136,3
12,FL,1287603,1303610,236,16007
13,GA,296729,297576,255,847
15,HI,242797,243936,396,1139
16,ID,35006,34952,270,-54
17,IL,449262,451904,250,2642
18,IN,89313,88300,254,-1013
19,IA,37110,36618,254,-492
20,KS,16752,16468,262,-284
21,KY,86882,86139,273,-743
22,LA,126032,127685,249,1653
23,ME,20583,20105,249,-478
24,MD,158869,156054,222,-2815
25,MA,247304,243206,256,-4098
26,MI,207411,207164,267,-247
27,MN,203639,204520,271,881
28,MS,18190,18365,278,175
29,MO,204764,200715,234,-4049
30,MT,32902,33082,282,180
31,NE,46110,45407,246,-703
32,NV,393821,403443,244,9622
33,NH,24205,23540,222,-665
34,NJ,208420,205059,315,-3361
35,NM,46003,45867,235,-136
36,NY,605815,600963,266,-4852
37,NC,232324,234366,247,2042
38,ND,28546,28471,321,-75
39,OH,172159,170676,252,-1483
40,OK,64014,62869,257,-1145
41,OR,142913,141250,236,-1663
42,PA,274039,271454,261,-2585
44,RI,38667,37474,226,-1193
45,SC,71979,71213,239,-766
46,SD,15910,15894,281,-16
47,TN,155533,154343,249,-1190
48,TX,826490,830286,260,3796
49,UT,130042,130899,266,857
50,VT,12735,12412,247,-323
51,VA,323055,321251,269,-1804
53,WA,275733,274008,247,-1725
54,WV,6867,6870,286,3
55,WI,100798,99588,252,-1210
56,WY,11938,12066,311,128
