rank,city_name,avg_fare,long,lat
1,"Los Angeles, CA",424.48,-118.243683,34.052235
2,"Chicago O'Hare, IL",424.51,-87.9073889,41.9793333
3,"Denver, CO",338,-104.991531,39.742043
4,"Atlanta, GA",439.32,-84.38633,33.753746
5,"San Francisco, CA",437.32,-122.446747,37.733795
6,"Boston, MA",383.95,-71.022362,42.366978
7,"New York La Guardia, NY",398.08,-73.8726111,40.77725
8,"Dallas Fort Worth, TX",425.89,-97.040443,32.89748
9,"Seattle, WA",377.14,-122.3117778,47.4498889
10,"New York JFK, NY",441.71,-73.7789256,40.6397511
11,"Newark, NJ",505.77,-74.175,40.68972
12,"Phoenix, AZ",363.32,-112.0115833,33.4342778
13,"Philadelphia, PA",436.11,-75.2408658,39.8722494
14,"Baltimore, MD",344.08,-76.6683307,39.1753488
15,"Minneapolis, MN",446.39,-93.2217778,44.8819722
16,"Las Vegas, NV",265.12,-115.15225,36.0800556
17,"Orlando, FL",310.86,-81.309,28.4293889
18,"Detroit, MI",436.75,-83.045753,42.331429
19,"San Diego, CA",377.28,-117.1896667,32.7335556
20,Washington Reagan National,393.58,-77.0376989,38.8519163
21,"Fort Lauderdale, FL",300.3,-80.1496944,26.0716667
22,"Houston Bush, TX",501.46,-95.3414444,29.9844444
23,"Chicago Midway, IL",331.73,-87.7524167,41.7859722
24,"Tampa, FL",342.07,-82.53325,27.9754722
25,"Portland, OR",369.19,-122.588303,45.548325
26,"Charlotte, NC",439.46,-80.949069,35.2137407
27,"St. Louis, MO",386.58,-90.199402,38.627003
28,"Oakland, CA",312.56,-122.2211489,37.7212597
29,"Kansas City, MO",376.08,-94.7139056,39.2976053
30,"Salt Lake City, UT",401.57,-111.9777731,40.7883878
31,"Austin, TX",395.61,-97.6698889,30.1945278
32,"Sacramento, CA",384.39,-121.5907778,38.6954444
33,"San Jose, CA",347.93,-121.9291111,37.3626667
34,"Raleigh/Durham, NC",390.95,-78.7874722,35.8776389
35,"Santa Ana, CA",390.26,-117.8682222,33.6756667
36,Washington Dulles,497.54,-77.4599444,38.9474444
37,"Nashville, TN",389.56,-86.76796,36.174465
38,"Houston Hobby, TX",361.82,-95.2788889,29.6454186
39,"Pittsburgh, PA",413.28,-80.2326944,40.4914167
40,"Miami, FL",405.17,-80.2901111,25.7953611
41,"Indianapolis, IN",417.62,-86.2946612,39.7172991
42,"Milwaukee, WI",366.82,-87.906471,43.038902
43,"San Antonio, TX",407.11,-98.493629,29.424122
44,"Columbus, OH",418.62,-82.8921667,39.9969444
45,"New Orleans, LA",360.29,-90.2590278,29.9932778
46,"Dallas Love Field, TX",304.51,-96.8517778,32.8471111
47,"Cleveland, OH",444.59,-81.8546944,41.4094167
48,"Hartford, CT",401.42,-72.6494444,41.7367222
49,"Buffalo, NY",339.48,-78.7305833,42.9404167
50,"Fort Myers, FL",344.98,-81.7551667,26.5361667
51,"Jacksonville, FL",397.14,-81.6878333,30.4940556
52,"West Palm Beach/Palm Beach, FL",357.36,-80.0955833,26.6831667
53,"Burbank, CA",298.82,-118.3586667,34.2006944
54,"Providence, RI",362.84,-71.4282211,41.7239992
55,"Ontario, CA",360.72,-117.6011944,34.056
56,"Albuquerque, NM",394.44,-106.6082622,35.0389316
57,"Omaha, NE",397.76,-95.995102,41.25716
58,"Cincinnati, OH",532.69,-84.4186111,39.1033333
59,"Oklahoma City, OK",429.29,-97.508469,35.481918
60,"Richmond, VA",436.78,-77.3196667,37.5051667
61,"Louisville, KY",422.29,-85.7364989,38.1740858
62,"Norfolk, VA",461.9,-76.2012222,36.8946111
63,"Long Beach, CA",261.31,-118.151733,33.817754
64,"Tucson, AZ",397,-110.9410278,32.1160833
65,"Memphis, TN",456.63,-89.9766667,35.0424167
66,"Spokane, WA",386.83,-117.5352222,47.6190278
67,"Manchester, NH",384.75,-71.43575,42.9328056
68,"Dayton, OH",434.48,-84.2194167,39.90225
69,"El Paso, TX",395.76,-106.3763611,31.8071944
70,"Reno, NV",366.43,-119.7681111,39.4991111
71,"Birmingham, AL",444.88,-86.7523056,33.5638889
72,"Rochester, NY",390.42,-77.6718693,43.1191421
73,"Tulsa, OK",440.53,-95.8881111,36.198388
74,"Boise, ID",386.41,-116.2228611,43.5643611
75,"Albany, NY",455.99,-73.8019722,42.7491111
76,"Grand Rapids, MI",454.47,-85.5228056,42.8808333
77,"Des Moines, IA",394.25,-93.6630833,41.5339722
78,"Charleston, SC",399.53,-80.0405278,32.8986389
79,"Little Rock, AR",432.74,-92.2247778,34.7294444
80,"Syracuse, NY",425.95,-76.1063056,43.1111944
81,"Akron, OH",356.9,-81.4669167,41.0375
82,"White Plains, NY",382.32,-73.7075556,41.0669444
83,"Greenville-Spartanburg, SC",424.24,-82.2188611,34.8956667
84,"Madison, WI",508.12,-89.3375045,43.1398791
85,"Portland, ME",438.84,-70.3086164,43.6456435
86,"Greensboro/High Point, NC",460.63,-79.9872614,35.9084697
87,"Islip, NY",309.01,-73.3042856,40.6867661
88,"Bellingham, WA",185.04,-122.5375278,48.7926944
89,"Sanford, FL",105.53,-81.2349167,28.7769722
90,"Knoxville, TN",457.77,-83.9940278,35.8109722
91,"Mesa, AZ",99.69,-111.6554722,33.3078333
92,"Wichita, KS",410.41,-97.4330556,37.6499444
93,"Fresno, CA",433.34,-119.7188333,36.7765556
94,"Harrisburg, PA",450.52,-76.7626206,40.1931907
95,"Pensacola, FL",472.08,-87.1866122,30.4734256
96,"Burlington, VT",434.46,-73.1532783,44.4719556
97,"Colorado Springs, CO",459.35,-104.7007778,38.8058056
98,"Jackson/Vicksburg, MS",503.19,-90.0758889,32.3111667
99,"Atlantic City, NJ",165.63,-74.5771667,39.4575833
100,Savannah/Hilton Head,445.06,-81.2021389,32.1275833
